ID Administration,Administration,ID Institution,Institution,Average PSU,Average NEM,Number of records
1,Municipal,8411,Liceo Politécnico Luis Cruz Martínez,407.64285714285717,5.697346969526642,49.0
1,Municipal,8424,Instituto Superior de Comercio José Menéndez,464.05395683453236,5.671377241968394,168.0
1,Municipal,8425,Liceo Polivalente María Behety de Menéndez,426.34313725490193,5.818405814792799,69.0
1,Municipal,8426,Colegio Andino,353.925,5.699230780968299,26.0
1,Municipal,8427,Liceo Industrial Armando Quezada Acharán,413.0892857142857,5.568125069141388,33.0
1,Municipal,8429,Liceo Luis Alberto Barrera,470.0457516339869,5.732529412998873,170.0
1,Municipal,8430,Liceo Polivalente Sara Braun,429.758064516129,5.670833349227905,48.0
1,Municipal,8432,Centro de Educación Integral de Adultos CEIA,422.54430379746833,5.406749987602234,121.0
1,Municipal,8474,Liceo Polivalente Hernando de Magallanes,462.44642857142856,5.7817894684640985,96.0
1,Municipal,8483,Liceo Donald Mc-Intyre Griffiths,506.4130434782609,5.804400024414062,25.0
1,Municipal,24300,Liceo Gabriela Mistral,459.98039215686276,5.7629411921781655,68.0
1,Municipal,24307,Liceo Juan Bautista Contardi,563.1553398058253,6.067916659514109,120.0
1,Municipal,24316,Liceo Politec.Cardenal Raúl Silva Henríquez,456.8984375,5.767307709424924,78.0
1,Municipal,24332,Ceia Carlos Yáñez Moya,473.15,5.470666726430257,15.0
2,Particular Subvencionado,8421,Liceo Salesiano Monseñor Fagnano,468.8397435897436,5.827241382379642,87.0
2,Particular Subvencionado,8422,Liceo María Mazzarello,497.375,6.032857145581927,28.0
2,Particular Subvencionado,8454,Instituto Don Bosco,464.8112244897959,5.570000004768372,120.0
2,Particular Subvencionado,8455,Liceo María Auxiliadora,555.8379629629629,5.9632231657170065,121.0
2,Particular Subvencionado,8457,Instituto Sagrada Familia,452.1168831168831,5.637439041602902,83.0
2,Particular Subvencionado,11678,Liceo Adventista,511.2432432432432,6.090000018095359,39.0
2,Particular Subvencionado,11680,Colegio Charles Darwin,583.8875,6.028809558777582,42.0
2,Particular Subvencionado,16892,Centro de Estudio de la Patagonia,402.74,5.410000002661417,43.0
2,Particular Subvencionado,24305,Colegio Pierre Faure,523.6444444444444,5.893124997615814,48.0
2,Particular Subvencionado,24317,Colegio Puerto Natales,433.938679245283,5.571707314592067,123.0
2,Particular Subvencionado,24319,Colegio Punta Arenas,506.82236842105266,5.601888910929362,90.0
2,Particular Subvencionado,24327,Liceo Experimental Umag,559.3571428571429,5.738050864914716,118.0
2,Particular Subvencionado,24329,Liceo San José,563.5,5.629155843288867,154.0
2,Particular Subvencionado,24330,Fundación para el Desarrollo,452.06451612903226,5.4937500059604645,48.0
2,Particular Subvencionado,24338,Colegio Luterano,481.1162790697674,5.736956523812336,46.0
2,Particular Subvencionado,40311,Colegio Caupolicán,384.21800947867297,5.222695659554523,231.0
3,Particular Pagado,8463,The British School,591.1470588235294,6.091250027929034,56.0
3,Particular Pagado,8464,Colegio Alemán,597.9769230769231,6.0805194842350945,77.0
3,Particular Pagado,11681,Colegio Miguel de Cervantes,582.6190476190476,5.809452063416781,74.0
3,Particular Pagado,11685,SOCIEDAD EDUCACIONAL  LA ARAUCANA,458.64150943396226,5.375873013148232,65.0
3,Particular Pagado,24303,Liceo Nobelius,553.8191489361702,5.978727297349409,55.0
3,Particular Pagado,24314,Colegio Cruz Del Sur,651.82,6.413076877593994,26.0
