"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Artiodactyla","Bovidae","Raphicerus","Raphicerus melanotis","Nocturnal",1.5,"Herbivore"
"Artiodactyla","Bovidae","Raphicerus","Raphicerus sharpei","Nocturnal",1.5,"Herbivore"
"Artiodactyla","Bovidae","Redunca","Redunca arundinum","Crepuscular",1.75,"Herbivore"
"Artiodactyla","Bovidae","Redunca","Redunca fulvorufula","Crepuscular",4.75,"Herbivore"
"Rodentia","Muridae","Reithrodontomys","Reithrodontomys fulvescens","Nocturnal",1.5,"Omnivore"
"Rodentia","Muridae","Reithrodontomys","Reithrodontomys humulis","Nocturnal",1,"Omnivore"
"Rodentia","Muridae","Reithrodontomys","Reithrodontomys montanus","Nocturnal",1,"Omnivore"
"Rodentia","Muridae","Reithrodontomys","Reithrodontomys raviventris","Nocturnal",1,"Herbivore"
"Rodentia","Muridae","Rhipidomys","Rhipidomys mastacalis","Nocturnal",1,"Omnivore"
"Macroscelidea","Macroscelididae","Rhynchocyon","Rhynchocyon chrysopygus","Diurnal",2,"Carnivore"
"Lagomorpha","Leporidae","Romerolagus","Romerolagus diazi","Crepuscular",3.5,"Herbivore"
"Primates","Callitrichidae","Saguinus","Saguinus bicolor","Diurnal",6.7,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus fuscicollis","Diurnal",6,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus geoffroyi","Diurnal",6.9,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus imperator","Diurnal",5,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus leucopus","Diurnal",7.5,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus midas","Diurnal",5.55,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus mystax","Diurnal",5.4,"Omnivore"
"Primates","Callitrichidae","Saguinus","Saguinus oedipus","Diurnal",7.05,"Omnivore"
"Artiodactyla","Bovidae","Saiga","Saiga tatarica","Diurnal",27.5,"Herbivore"
"Primates","Cebidae","Saimiri","Saimiri oerstedii","Diurnal",25.1,"Omnivore"
"Primates","Cebidae","Saimiri","Saimiri sciureus","Diurnal",34.85,"Omnivore"
"Rodentia","Sciuridae","Sciurillus","Sciurillus pusillus","Diurnal",1,"Herbivore"
"Rodentia","Sciuridae","Sciurus","Sciurus aestuans","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Sciurus","Sciurus aureogaster","Diurnal",1,"Herbivore"
"Rodentia","Sciuridae","Sciurus","Sciurus carolinensis","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Sciurus","Sciurus deppei","Diurnal",1,"Herbivore"
"Rodentia","Sciuridae","Sciurus","Sciurus granatensis","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Sciurus","Sciurus ignitus","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Sciurus","Sciurus igniventris","Diurnal",1,"Herbivore"
"Rodentia","Sciuridae","Sciurus","Sciurus spadiceus","Diurnal",1,"Herbivore"
"Primates","Cercopithecidae","Semnopithecus","Semnopithecus entellus","Diurnal",19,"Herbivore"
"Rodentia","Muridae","Sigmodon","Sigmodon hispidus","Crepuscular",1,"Omnivore"
"Rodentia","Sciuridae","Spermophilus","Spermophilus elegans","Diurnal",1,"Herbivore"
"Rodentia","Sciuridae","Spermophilus","Spermophilus mohavensis","Diurnal",1,"Herbivore"
"Rodentia","Sciuridae","Spermophilus","Spermophilus townsendii","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Spermophilus","Spermophilus tridecemlineatus","Diurnal",1,"Omnivore"
"Rodentia","Erethizontidae","Sphiggurus","Sphiggurus mexicanus","Nocturnal",2,"Herbivore"
"Insectivora","Soricidae","Suncus","Suncus infinitesimus","Crepuscular",1,"Carnivore"
"Artiodactyla","Suidae","Sus","Sus barbatus","Crepuscular",6.25,"Omnivore"
"Artiodactyla","Suidae","Sus","Sus cebifrons","Crepuscular",4.5,"Omnivore"
"Artiodactyla","Suidae","Sus","Sus philippensis","Crepuscular",3.75,"Omnivore"
"Artiodactyla","Suidae","Sus","Sus salvanius","Crepuscular",5,"Omnivore"
"Artiodactyla","Suidae","Sus","Sus scrofa","Crepuscular",13,"Omnivore"
"Artiodactyla","Bovidae","Sylvicapra","Sylvicapra grimmia","Crepuscular",1,"Herbivore"
"Lagomorpha","Leporidae","Sylvilagus","Sylvilagus brasiliensis","Crepuscular",1,"Herbivore"
"Artiodactyla","Bovidae","Syncerus","Syncerus caffer","Crepuscular",12,"Herbivore"
"Rodentia","Sciuridae","Syntheosciurus","Syntheosciurus brochus","Crepuscular",2,"Herbivore"
"Rodentia","Muridae","Tachyoryctes","Tachyoryctes macrocephalus","Diurnal",1,"Herbivore"
"Xenarthra","Myrmecophagidae","Tamandua","Tamandua mexicana","Crepuscular",1,"Carnivore"
