"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Rodentia","Heteromyidae","Heteromys","Heteromys anomalus","Nocturnal",1,"Omnivore"
"Rodentia","Heteromyidae","Heteromys","Heteromys australis","Nocturnal",1,"Herbivore"
"Rodentia","Heteromyidae","Heteromys","Heteromys desmarestianus","Nocturnal",1,"Herbivore"
"Artiodactyla","Cervidae","Hippocamelus","Hippocamelus bisulcus","Crepuscular",1.9,"Herbivore"
"Artiodactyla","Bovidae","Hippotragus","Hippotragus equinus","Diurnal",12,"Herbivore"
"Artiodactyla","Bovidae","Hippotragus","Hippotragus niger","Diurnal",15,"Herbivore"
"Rodentia","Muridae","Holochilus","Holochilus chacarius","Crepuscular",1,"Herbivore"
"Rodentia","Echimyidae","Hoplomys","Hoplomys gymnurus","Nocturnal",1,"Herbivore"
"Primates","Hylobatidae","Hylobates","Hylobates agilis","Diurnal",4.2,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates concolor","Diurnal",4,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates hoolock","Diurnal",3.2,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates klossii","Diurnal",3,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates lar","Diurnal",3.2,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates moloch","Diurnal",2.15,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates muelleri","Diurnal",3.2,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates pileatus","Diurnal",3.25,"Omnivore"
"Primates","Hylobatidae","Hylobates","Hylobates syndactylus","Diurnal",3.8,"Omnivore"
"Artiodactyla","Suidae","Hylochoerus","Hylochoerus meinertzhageni","Crepuscular",10,"Herbivore"
"Rodentia","Echimyidae","Kannabateomys","Kannabateomys amblyonyx","Nocturnal",1,"Herbivore"
"Artiodactyla","Bovidae","Kobus","Kobus ellipsiprymnus","Crepuscular",12,"Herbivore"
"Artiodactyla","Bovidae","Kobus","Kobus leche","Crepuscular",20,"Herbivore"
"Artiodactyla","Bovidae","Kobus","Kobus vardonii","Crepuscular",5.5,"Herbivore"
"Diprotodontia","Macropodidae","Lagorchestes","Lagorchestes hirsutus","Nocturnal",8,"Herbivore"
"Primates","Cebidae","Lagothrix","Lagothrix flavicauda","Diurnal",9.1,"Herbivore"
"Primates","Cebidae","Lagothrix","Lagothrix lagotricha","Diurnal",33,"Omnivore"
"Primates","Cercopithecidae","Mandrillus","Mandrillus leucophaeus","Diurnal",17,"Omnivore"
"Primates","Cercopithecidae","Mandrillus","Mandrillus sphinx","Diurnal",13.9,"Omnivore"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa mexicana","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa murina","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Marmosa","Marmosa robinsoni","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Marmosops","Marmosops parvidens","Nocturnal",1,"Omnivore"
"Primates","Lemuridae","Lemur","Lemur catta","Crepuscular",16.45,"Omnivore"
"Primates","Callitrichidae","Leontopithecus","Leontopithecus chrysopygus","Diurnal",3.6,"Omnivore"
"Primates","Callitrichidae","Leontopithecus","Leontopithecus rosalia","Diurnal",4.5,"Omnivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur dorsalis","Nocturnal",1,"Herbivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur edwardsi","Nocturnal",1,"Omnivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur leucopus","Nocturnal",1,"Herbivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur microdon","Nocturnal",1,"Omnivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur mustelinus","Nocturnal",1,"Herbivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur ruficaudatus","Nocturnal",1,"Herbivore"
"Primates","Megaladapidae","Lepilemur","Lepilemur septentrionalis","Nocturnal",1,"Herbivore"
"Lagomorpha","Leporidae","Lepus","Lepus arcticus","Nocturnal",2,"Herbivore"
"Lagomorpha","Leporidae","Lepus","Lepus callotis","Nocturnal",2,"Herbivore"
"Lagomorpha","Leporidae","Lepus","Lepus townsendii","Nocturnal",1,"Herbivore"
"Rodentia","Heteromyidae","Liomys","Liomys pictus","Nocturnal",1,"Herbivore"
"Primates","Cercopithecidae","Lophocebus","Lophocebus albigena","Diurnal",16,"Omnivore"
"Rodentia","Muridae","Lorentzimys","Lorentzimys nouhuysi","Crepuscular",4,"Omnivore"
"Primates","Loridae","Loris","Loris tardigradus","Nocturnal",1,"Omnivore"
"Primates","Cercopithecidae","Macaca","Macaca fascicularis","Diurnal",27,"Omnivore"
"Primates","Cercopithecidae","Macaca","Macaca fuscata","Diurnal",40.65,"Omnivore"
"Primates","Cercopithecidae","Macaca","Macaca mulatta","Diurnal",38.5,"Herbivore"
"Primates","Cercopithecidae","Macaca","Macaca nemestrina","Diurnal",22.6,"Omnivore"
"Primates","Cercopithecidae","Macaca","Macaca nigra","Diurnal",24.75,"Herbivore"
"Primates","Cercopithecidae","Macaca","Macaca silenus","Diurnal",21,"Omnivore"
"Primates","Cercopithecidae","Macaca","Macaca sinica","Diurnal",20.1,"Herbivore"
"Primates","Cercopithecidae","Macaca","Macaca sylvanus","Diurnal",18.3,"Omnivore"
"Diprotodontia","Macropodidae","Macropus","Macropus robustus","Nocturnal",1.92,"Herbivore"
"Diprotodontia","Macropodidae","Macropus","Macropus rufus","Nocturnal",2.6,"Herbivore"
"Macroscelidea","Macroscelididae","Macroscelides","Macroscelides proboscideus","Crepuscular",1,"Omnivore"
"Artiodactyla","Bovidae","Madoqua","Madoqua guentheri","Diurnal",6.25,"Herbivore"
"Artiodactyla","Bovidae","Madoqua","Madoqua kirkii","Crepuscular",2.5,"Herbivore"
"Artiodactyla","Bovidae","Madoqua","Madoqua saltiana","Crepuscular",1.5,"Herbivore"
"Rodentia","Sciuridae","Marmota","Marmota monax","Diurnal",1,"Omnivore"
"Rodentia","Sciuridae","Marmota","Marmota vancouverensis","Diurnal",8,"Herbivore"
"Artiodactyla","Cervidae","Mazama","Mazama americana","Crepuscular",1,"Herbivore"
"Artiodactyla","Cervidae","Mazama","Mazama gouazoupira","Crepuscular",1,"Herbivore"
"Rodentia","Echimyidae","Mesomys","Mesomys hispidus","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Metachirus","Metachirus nudicaudatus","Nocturnal",1,"Omnivore"
"Primates","Cheirogaleidae","Microcebus","Microcebus coquereli","Nocturnal",1,"Omnivore"
"Primates","Cheirogaleidae","Microcebus","Microcebus murinus","Nocturnal",1,"Omnivore"
"Primates","Cheirogaleidae","Microcebus","Microcebus rufus","Nocturnal",1,"Omnivore"
"Rodentia","Sciuridae","Microsciurus","Microsciurus flaviventer","Diurnal",2,"Carnivore"
"Rodentia","Sciuridae","Microsciurus","Microsciurus mimulus","Diurnal",2,"Carnivore"
"Rodentia","Muridae","Microtus","Microtus ochrogaster","Nocturnal",2.75,"Omnivore"
"Primates","Cercopithecidae","Miopithecus","Miopithecus talapoin","Diurnal",91.2,"Omnivore"
"Didelphimorphia","Didelphidae","Monodelphis","Monodelphis brevicaudata","Crepuscular",1,"Omnivore"
"Didelphimorphia","Didelphidae","Monodelphis","Monodelphis domestica","Crepuscular",1,"Carnivore"
"Xenarthra","Myrmecophagidae","Myrmecophaga","Myrmecophaga tridactyla","Crepuscular",1,"Carnivore"
"Rodentia","Sciuridae","Myosciurus","Myosciurus pumilio","Diurnal",1,"Omnivore"
"Insectivora","Soricidae","Myosorex","Myosorex cafer","Crepuscular",1,"Omnivore"
"Insectivora","Soricidae","Myosorex","Myosorex varius","Crepuscular",2,"Carnivore"
"Primates","Cercopithecidae","Nasalis","Nasalis concolor","Diurnal",2.75,"Herbivore"
"Primates","Cercopithecidae","Nasalis","Nasalis larvatus","Diurnal",11.25,"Herbivore"
"Rodentia","Muridae","Neacomys","Neacomys spinosus","Nocturnal",1,"Omnivore"
"Rodentia","Muridae","Neacomys","Neacomys tenuipes","Nocturnal",1,"Omnivore"
"Rodentia","Muridae","Nectomys","Nectomys parvipes","Nocturnal",1,"Omnivore"
"Rodentia","Muridae","Nectomys","Nectomys squamipes","Nocturnal",1,"Omnivore"
"Rodentia","Muridae","Neofiber","Neofiber alleni","Nocturnal",1,"Herbivore"
"Rodentia","Muridae","Neotoma","Neotoma albigula","Nocturnal",1,"Herbivore"
"Rodentia","Muridae","Neotoma","Neotoma cinerea","Nocturnal",4,"Herbivore"
"Rodentia","Muridae","Neotoma","Neotoma floridana","Nocturnal",1,"Herbivore"
"Artiodactyla","Bovidae","Neotragus","Neotragus moschatus","Crepuscular",1.5,"Herbivore"
